,h,range,ip,des,diameter,last_obs_jd,id,fullname,ps_cum,ps_max,n_imp,ts_max,last_obs,v_inf
1798,29.08,2035-2035,3.584e-08,2024 RL3,0.0052,2460562.5,bK24R03L,(2024 RL3),-8.86,-8.86,1,0,2024-09-09,6.77
1799,25.01,2114-2114,2.183e-10,2024 RZ21,0.034,2460573.5,bK24R21Z,(2024 RZ21),-9.77,-9.77,1,0,2024-09-20,17.01
1800,27.80,2062-2062,5.958e-05,2024 RC16,0.0093,2460565.5,bK24R16C,(2024 RC16),-5.26,-5.26,1,0,2024-09-12,18.14
1801,27.17,2046-2046,4.962e-07,2024 RE16,0.012,2460565.5,bK24R16E,(2024 RE16),-6.68,-6.68,1,0,2024-09-12,22.10
1802,26.71,2081-2081,3.148e-07,2024 RY10,0.015,2460566.5,bK24R10Y,(2024 RY10),-7.57,-7.57,1,0,2024-09-13,5.22
1803,28.92,2110-2123,2.6400751e-06,2024 SL1,0.0056,2460582.5,bK24S01L,(2024 SL1),-7.87,-8.06,16,0,2024-09-29,7.99836563020499
1804,27.56,2092-2118,0.000526086756,2024 RF10,0.01,2460586.5,bK24R10F,(2024 RF10),-4.74,-4.88,20,0,2024-10-03,8.76679660377157
1805,24.63,2090-2111,9.832e-08,2024 TC22,0.04,2460596.5,bK24T22C,(2024 TC22),-6.59,-6.84,2,0,2024-10-13,27.3611065907242
1806,28.90,2115-2120,3.58205e-06,2024 RA5,0.0056,2460566.5,bK24R05A,(2024 RA5),-7.83,-7.97,5,0,2024-09-13,3.37833307742773
1807,29.17,2096-2118,2.5819928e-05,2024 RS16,0.005,2460567.5,bK24R16S,(2024 RS16),-6.82,-7.21,37,0,2024-09-14,11.3146062851143
1808,29.34,2123-2123,1.584e-08,2024 UD1,0.0046,2460608.5,bK24U01D,(2024 UD1),-10.31,-10.31,1,0,2024-10-25,7.73
1809,26.91,2102-2121,7.48343e-08,2024 RZ3,0.014,2460594.5,bK24R03Z,(2024 RZ3),-8.49,-8.68,3,0,2024-10-11,2.53989252254648
1810,25.88,2078-2124,7.6793554e-06,2024 SN8,0.023,2460590.5,bK24S08N,(2024 SN8),-5.66,-5.80,21,0,2024-10-07,13.7800231727783
1811,29.67,2068-2122,3.86025911e-05,2024 ST,0.00394,2460581.5,bK24S00T,(2024 ST),-6.90,-7.40,59,0,2024-09-28,11.4042375081397
1812,27.88,2075-2119,2.1505442e-06,2021 UG2,0.009,2459518.5,bK21U02G,(2021 UG2),-7.19,-7.72,12,0,2021-10-31,13.0419822387282
1813,23.95,2099-2123,9.22534e-06,2022 MK1,0.055,2459877.5,bK22M01K,(2022 MK1),-4.92,-5.19,10,0,2022-10-25,6.435183646348
1814,25.01,2100-2117,3.6389e-07,2024 RH2,0.034,2460586.5,bK24R02H,(2024 RH2),-6.86,-7.05,3,0,2024-10-03,4.72769435818517
1815,27.61,2080-2121,7.72721e-07,2024 TT,0.01,2460591.5,bK24T00T,(2024 TT),-7.71,-7.76,6,0,2024-10-08,7.06826581651075
1816,28.38,2089-2096,2.8988e-06,2024 TG,0.00719,2460587.5,bK24T00G,(2024 TG),-7.32,-7.36,2,0,2024-10-04,10.3910583689803
1817,24.56,2112-2112,1.390e-07,2024 TH,0.041,2460592.5,bK24T00H,(2024 TH),-6.93,-6.93,1,0,2024-10-09,10.75
1818,30.74,2056-2111,1.2229734e-05,2024 TQ9,0.0024,2460593.5,bK24T09Q,(2024 TQ9),-7.84,-8.37,18,0,2024-10-10,6.91218241214404
1819,27.67,2028-2028,3.347e-04,2024 TK5,0.0099,2460591.5,bK24T05K,(2024 TK5),-3.63,-3.63,1,0,2024-10-08,8.93
1820,25.89,2071-2107,6.800314e-06,2010 TW149,0.0227,2455484.5,bK10TE9W,(2010 TW149),-5.57,-6.27,32,0,2010-10-15,17.0713047897494
1821,26.50,2106-2111,4.0629e-09,2014 HJ198,0.017,2456774.5,bK14HJ8J,(2014 HJ198),-9.02,-9.05,2,0,2014-04-27,22.51176917965
1822,30.08,2077-2121,0.0001985615878,2015 WP2,0.0033,2457349.5,bK15W02P,(2015 WP2),-6.32,-6.56,30,0,2015-11-23,12.6207799644318
1823,27.19,2058-2113,9.6547e-08,2024 TO6,0.012,2460595.5,bK24T06O,(2024 TO6),-7.78,-7.82,3,0,2024-10-12,17.4280942960423
1824,27.92,2059-2104,9.473e-09,2024 TU8,0.0088,2460595.5,bK24T08U,(2024 TU8),-9.43,-9.58,3,0,2024-10-12,10.7239332840705
1825,25.16,2119-2119,1.318e-07,2024 WD18,0.032,2460735.5,bK24W18D,(2024 WD18),-7.34,-7.34,1,0,2025-03-01,8.08
1826,21.71,2118-2124,1.0286075e-06,2024 TW17,0.15,2460623.5,bK24T17W,(2024 TW17),-4.45,-4.88,6,0,2024-11-09,20.704051423891
1827,30.74,2078-2121,1.4637114e-05,2024 TL2,0.0024,2460588.5,bK24T02L,(2024 TL2),-7.74,-7.91,11,0,2024-10-05,8.71853562389416
1828,28.60,2062-2083,1.6477429e-06,2024 TY13,0.0065,2460591.5,bK24T13Y,(2024 TY13),-7.34,-7.37,6,0,2024-10-08,18.8401323119038
1829,27.12,2086-2114,1.192974e-06,2024 UG21,0.013,2460607.5,bK24U21G,(2024 UG21),-7.06,-7.81,16,0,2024-10-24,13.4124455688054
1830,29.93,2095-2124,7.20959e-06,2024 UB11,0.0035,2460616.5,bK24U11B,(2024 UB11),-7.58,-7.59,3,0,2024-11-02,14.3996461796024
1831,26.83,2124-2124,5.100e-07,2025 HJ5,0.015,2460797.5,bK25H05J,(2025 HJ5),-7.62,-7.62,1,0,2025-05-02,6.95
1832,28.34,2101-2115,1.9762e-07,2024 UK4,0.00726,2460609.5,bK24U04K,(2024 UK4),-8.53,-8.79,2,0,2024-10-26,12.2264396316162
