make,model,version,price,fuel,year,kms,power,doors,shift,color,is_professional
OPEL,Astra,OPEL Astra GTC 2.0 Turbo 170 CV Sport 3p.,3500,Gasolina,2006.0,229193,170.0,3,Manual,Rojo,True
RENAULT,Koleos,RENAULT Koleos Zen Blue dCi 110kW 150CV XTronic 4x2 5p.,31600,Diésel,2020.0,1,150.0,5,Automático,Blanco (VARIAS UNIDADES Y COLORES),True
ABARTH,500,ABARTH 500 1.4 16v TJet 595 107kW 145CV E6D 3p.,16875,Gasolina,2019.0,12000,145.0,3,Manual,Rojo (ROJO EXOTICA),True
MERCEDES-BENZ,Clase A,MERCEDES-BENZ Clase A Sedan A 180 d 4p.,32000,Diésel,2020.0,20100,116.0,4,Automático,Negro (NEGRO COSMOS),True
OPEL,Vivaro,OPEL Vivaro 1.6 CDTI SS 92kW L2 2.9t Combi Plus9 4p.,20900,Diésel,2018.0,61823,125.0,4,Manual,Marrón,True
VOLKSWAGEN,Golf,VOLKSWAGEN Golf 2.0 T FSI DSG GTI 5p.,10490,Gasolina,2006.0,148252,200.0,5,Automático,Rojo,True
BMW,Serie 5,BMW Serie 5 520d EfficientDynamics Edition 4p.,16000,Diésel,2011.0,91000,184.0,4,Automático,Negro,False
CITROEN,C3,CITROEN C3 BlueHDi 75KW 100CV SS CSeries 5p.,17000,Diésel,2020.0,5,102.0,5,Manual,Gris / Plata,True
AUDI,Q3,AUDI Q3 S line 35 TDI 110kW 150CV S tronic 5p.,32900,Diésel,2018.0,11700,150.0,5,Automático,Z7Z7 Gris Cronos (metalizada),True
AUDI,TT,AUDI TT Coupe 2.0 TDI 184CV ultra 3p.,19500,Diésel,2014.0,210000,184.0,3,Manual,Blanco,True
BMW,X1,BMW X1 sDrive18dA Business 5p.,22900,Diésel,2017.0,70000,150.0,5,Automático,Blanco,True
SMART,fortwo,SMART fortwo 60kW81CV EQ coupe 3p.,14500,Eléctrico,2019.0,2000,82.0,3,Automático,Rojo,True
VOLKSWAGEN,Scirocco,VOLKSWAGEN Scirocco 2.0 TDI 150CV RLine BMT 3p.,19500,Diésel,2015.0,58000,150.0,3,Manual,Blanco,False
JAGUAR,Serie XJ,JAGUAR Serie XJ XJ8 4.2 Executive L 4p.,6490,Gasolina,2005.0,260556,298.0,4,Automático,Verde,True
VOLKSWAGEN,Tiguan,VOLKSWAGEN Tiguan 2.0 TDI 140cv DSG 4x4 Sport BMotion Tech 5p.,17300,Diésel,2014.0,91473,140.0,5,Automático,Gris / Plata (*LRO*),True
MERCEDES-BENZ,Clase M,MERCEDES-BENZ Clase M ML 320 CDI 5p.,14500,Diésel,2007.0,175000,224.0,5,Automático,Gris / Plata,False
AUDI,A3,AUDI A3 Sportback 1.6 TDI 105cv Ambition 5p.,7490,Diésel,2012.0,220000,105.0,5,Manual,Blanco,True
MERCEDES-BENZ,Clase CLA,MERCEDES-BENZ Clase CLA CLA 200 d Shooting Brake 5p.,30000,Diésel,2018.0,14000,136.0,5,Manual,Azul,False
OPEL,Astra,OPEL Astra 1.2T SHR 107kW 145CV Elegance ST 5p.,21400,Gasolina,2019.0,1,145.0,5,Manual,Azul,True
MERCEDES-BENZ,Clase CLK,MERCEDES-BENZ Clase CLK CLK 240 AVANTGARDE 2p.,4999,Gasolina,2002.0,160000,170.0,2,Automático,Gris / Plata,True
OPEL,Zafira,OPEL Zafira 1.9 CDTi 120 CV Enjoy 5p.,5850,Diésel,2008.0,159000,120.0,5,Manual,Gris / Plata,True
AUDI,A3,AUDI A3 Sportback 1.6 TDI clean d 110CV Advanced 5p.,17350,Diésel,2016.0,57054,110.0,5,Manual,Blanco (T9T9 Blanco Ibis),True
RENAULT,Modus,RENAULT Modus Authentique 1.5dCi70 eco2 5p.,3500,Diésel,2007.0,140000,70.0,5,Manual,Blanco,False
OPEL,Combo,OPEL Combo Tour Excellenc 1.6CDTI 88kW 120CV L1H1,9900,Diésel,2016.0,58000,120.0,5,Automático,Blanco,True
OPEL,Insignia,OPEL Insignia ST 1.6 CDTI SS ecoFLEX 136 CV Selective 5p.,8300,Diésel,2016.0,173707,136.0,5,Manual,Azul,True
PEUGEOT,2008,PEUGEOT 2008 Allure 1.6 BlueHDi 88KW 120CV SS 5p.,16800,Diésel,2018.0,29000,120.0,5,Manual,Blanco (NACARADO),True
RENAULT,Mégane,RENAULT Mégane CONFORT EXPRESSION 1.9DCI 5p.,2800,Diésel,2006.0,134000,130.0,5,Manual,Gris / Plata,False
SEAT,León,SEAT Leon 1.6 TDI 85kW 115CV StSp Style 5p.,7900,Diésel,2016.0,156980,115.0,5,Manual,Blanco,True
DACIA,Duster,DACIA Duster Laureate dCi 110 5p.,8990,Diésel,2014.0,119500,109.0,5,Manual,Blanco,True
VOLKSWAGEN,Transporter,VOLKSWAGEN Transporter Kombi Corto T.Normal 2.0 TDI 102cv 2.8T 4p.,16999,Diésel,2011.0,146000,102.0,4,Manual,Amarillo (Blanco y amarillo ),True
PEUGEOT,308,PEUGEOT 308 SW Business Line 1.6 BlueHDi 88KW 120CV 5p.,10710,Diésel,2016.0,87100,120.0,5,Manual,Gris / Plata (plata),True
PEUGEOT,508 Hybrid,PEUGEOT 508 Hybrid 5P GT Line 225 eEAT8 5p.,35375,Híbrido enchufable,2020.0,1,225.0,5,Automático,Gris / Plata,True
TOYOTA,Yaris,TOYOTA Yaris 1.0 70 Business 5p.,10900,Gasolina,2020.0,12750,69.0,5,Manual,Blanco,True
KIA,Rio,KIA Rio 1.2 CVVT 84CV Drive 5p.,7500,Gasolina,2015.0,100000,84.0,5,Manual,Blanco,False
VOLKSWAGEN,Polo,VOLKSWAGEN Polo Advance 1.0 TSI 70kW 95CV 5p.,14900,Gasolina,2019.0,19420,95.0,5,Manual,4M4M Naranja Calatea (metalizado),True
PEUGEOT,5008,PEUGEOT 5008 1.5 BlueHDi 96kW 130CV SS GT 5p.,33835,Diésel,2021.0,1,130.0,5,Manual,Gris / Plata,True
OPEL,Astra,OPEL Astra 1.4 Turbo SS 125 CV Dynamic 5p.,9750,Gasolina,2016.0,85000,125.0,5,Manual,Blanco,False
AUDI,Q2,AUDI Q2 design edition 1.4 TFSI COD S tronic 5p.,21490,Gasolina,2017.0,79999,150.0,5,Manual,Blanco,True
HONDA,Accord,HONDA Accord TOURER 2.2 iDTEC Executive 5p.,7650,Diésel,2010.0,185700,150.0,5,Manual,Gris / Plata (Gris),True
KIA,ceed,KIA ceed 1.4 CRDi WGT 90cv Concept 5p.,10900,Diésel,2016.0,54327,90.0,5,Manual,Gris / Plata,True
FIAT,Punto,FIAT Punto 1.3 Lounge 95CV Multijet SS 5p.,2700,Diésel,2013.0,240000,95.0,5,Manual,Beige,False
FIAT,Tipo,FIAT Tipo 1.6 Lounge 88kW 120CVdiesel Mjet II SW 5p.,12450,Diésel,2018.0,41844,120.0,5,Manual,Marrón,True
BMW,Serie 1,BMW Serie 1 120d 2p.,8800,Diésel,2009.0,219000,177.0,2,Manual,Negro,False
VOLKSWAGEN,Polo,VOLKSWAGEN Polo 1.4 TDI United 70cv 5p.,5500,Diésel,2009.0,107000,70.0,5,Manual,Negro,True
VOLKSWAGEN,Touran,VOLKSWAGEN Touran Business 1.6 TDI 85kW 115CV DSG 5p.,16900,Diésel,2017.0,88905,115.0,5,Automático,Gris / Plata (GRIS OSCURO),True
VOLVO,S60,VOLVO S60 D5 4p.,3333,Diésel,2002.0,400000,163.0,4,Manual,Gris / Plata,False
CITROEN,C4 Spacetourer,CITROEN C4 Spacetourer BlueHDi 88KW 120CV Shine 5p.,21900,Diésel,2018.0,13638,120.0,5,Manual,Rojo,True
BMW,Serie 5,BMW Serie 5 535d 4p.,8890,Diésel,2006.0,210973,272.0,4,Automático,Gris / Plata,True
MERCEDES-BENZ,Clase B,MERCEDES-BENZ Clase B B 180 CDI 5p.,15000,Diésel,2013.0,47000,109.0,5,Automático,Blanco,False
BMW,Serie 5,BMW Serie 5 520D 4p.,28900,Diésel,2017.0,55962,190.0,4,Manual,"A90 Sophistograu, efecto de brillo (metalizado)",True
VOLKSWAGEN,Caddy,VOLKSWAGEN Caddy Furgon 2.0 TDI SCR BMT 102CV,10910,Diésel,2016.0,80743,102.0,4,Manual,Blanco (BLANCO),True
FORD,Focus,FORD Focus 1.8 TDCi Trend 3p.,2200,Diésel,2006.0,280000,115.0,3,Manual,Gris / Plata,True
SEAT,León,SEAT Leon 1.5 TSI 96kW 130CV SS Style Visio Ed 5p.,13850,Gasolina,2019.0,74000,130.0,5,Manual,Blanco (MET Pintura metalizada),True
AUDI,Q7,AUDI Q7 3.0 TDI quattro tiptronic 5p.,59900,Diésel,2018.0,40000,272.0,5,Automático,"(( NACIONAL, S-LINE, LLANTA 22"", FULL ))",True
TOYOTA,Auris,TOYOTA Auris 1.8 140H Hybrid Feel 5p.,12500,Híbrido,2016.0,85000,136.0,5,Automático,Gris / Plata,True
FIAT,Doblò,FIAT Doblò Panorama Dynamic 1.6 Multijet 90 MTA E5 5p.,6750,Diésel,2014.0,114563,90.0,5,Manual,Granate,False
NISSAN,QASHQAI,NISSAN QASHQAI dCi 96 kW 130 CV NCONNECTA 5p.,20300,Diésel,2018.0,10000,130.0,5,Manual,Azul,True
CHEVROLET,Aveo,CHEVROLET Aveo 1.4 16v LT Auto 4p.,5490,Gasolina,2009.0,121300,101.0,4,Automático,Gris / Plata,True
BMW,Serie 3,BMW Serie 3 318d Touring 5p.,16950,Diésel,2015.0,85000,143.0,5,Manual,Blanco,False
VOLVO,S40,VOLVO S40 1.6D Kinetic 4p.,3900,Diésel,2005.0,195000,109.0,4,Manual,Azul,True
SEAT,Ibiza,SEAT Ibiza 1.4 TDI 70cv Reference 5p.,2500,Diésel,2007.0,206000,70.0,5,Manual,Amarillo,False
VOLKSWAGEN,Golf,VOLKSWAGEN Golf 1.6 HIGHLINE 3p.,2900,Gasolina,2000.0,136000,105.0,3,Manual,Gris / Plata,True
PEUGEOT,208,PEUGEOT 208 5P STYLE 1.6 BlueHDi 55KW 75CV 5p.,10600,Diésel,2017.0,91616,75.0,5,Manual,Gris / Plata,True
SSANGYONG,Korando,SSANGYONG Korando G15T Urban 5p.,22800,Gasolina,2020.0,20,163.0,5,Manual,Negro,True
VOLKSWAGEN,Scirocco,VOLKSWAGEN Scirocco Typhoon by RLine 1.4 TSI 92kW 125CV 3p.,18500,Gasolina,2017.0,70000,125.0,3,Manual,Azul,False
SEAT,León,SEAT Leon ST 1.2 TSI 110cv StSp Reference 5p.,7290,Gasolina,2015.0,44000,110.0,5,Manual,Azul,True
HYUNDAI,Santa Fe,HYUNDAI Santa Fe 2.2 CRDi VGT Comfort Full DVD 5 plazas 5p.,5499,Diésel,2008.0,159999,155.0,5,Manual,Blanco,True
KIA,ceed,KIA ceed 1.4 CRDi WGT 90cv Drive 5p.,7900,Diésel,2015.0,169000,90.0,5,Manual,Blanco,True
VOLKSWAGEN,Golf,VOLKSWAGEN Golf Advance 1.0 TSI 85kW 115CV 5p.,15990,Gasolina,2018.0,82000,115.0,5,Manual,Blanco,True
HYUNDAI,TUCSON,HYUNDAI TUCSON 1.6 CRDI 85kW 116CV SLE 4X2 5p.,25750,Diésel,2020.0,18,116.0,5,Manual,"Beige (PLATA, NEGRO, BLANCO, DORADO)",True
OPEL,Mokka X,OPEL Mokka X 1.4 T 103kW 4X2 SS Innovation 5p.,16900,Gasolina,2019.0,57000,140.0,5,Manual,Blanco,True
VOLKSWAGEN,Golf,VOLKSWAGEN Golf Advance 1.4 TSI 92kW 125CV DSG 5p.,15400,Gasolina,2017.0,65000,125.0,5,Automático,Rojo,True
HONDA,Civic,HONDA Civic 2.2 iCTDi Comfort 5p.,2000,Diésel,2007.0,220000,140.0,5,Manual,Blanco,False
BMW,X3,BMW X3 XDRIVE20D 5p.,19800,Diésel,2013.0,159000,177.0,5,Manual,Beige,False
